,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean,apparent_temperature_max,apparent_temperature_min,sunshine_duration,uv_index_max,shortwave_radiation_sum,et0_fao_evapotranspiration,humidity_2m_mean
0,1980-01-01,12.7,8.2,9.9,0.0,0.0,21.7,38.2,13.7,,,,,,,
1,1980-01-02,8.9,5.4,6.5,3.0,8.0,15.4,28.1,11.9,,,,,,,
2,1980-01-03,5.9,4.6,5.2,7.4,15.0,18.4,30.2,12.8,,,,,,,
3,1980-01-04,5.4,-0.5,3.3,1.4,5.0,27.1,47.9,20.7,,,,,,,
4,1980-01-05,4.0,-3.7,-0.1,0.0,0.0,18.4,31.7,10.6,,,,,,,
5,1980-01-06,7.1,-3.5,1.8,0.0,0.0,17.8,32.0,11.1,,,,,,,
6,1980-01-07,4.1,-3.4,0.5,0.0,0.0,19.0,32.4,11.7,,,,,,,
7,1980-01-08,7.7,-2.5,2.7,1.7,8.0,12.5,25.6,8.1,,,,,,,
8,1980-01-09,8.6,-1.0,2.5,0.0,0.0,20.4,35.3,12.4,,,,,,,
9,1980-01-10,5.0,-1.5,1.4,0.0,0.0,19.3,30.6,11.4,,,,,,,
10,1980-01-11,6.2,0.3,3.5,0.2,1.0,15.3,27.0,10.8,,,,,,,
11,1980-01-12,8.1,2.1,5.4,13.2,21.0,20.9,35.6,13.1,,,,,,,
12,1980-01-13,4.1,-1.4,1.1,0.0,0.0,19.4,37.1,16.3,,,,,,,
13,1980-01-14,7.3,-2.8,1.6,0.0,0.0,16.9,33.1,13.0,,,,,,,
14,1980-01-15,8.8,-3.0,2.1,0.0,0.0,25.0,45.0,12.0,,,,,,,
15,1980-01-16,11.6,-2.5,4.0,0.0,0.0,9.8,21.2,7.8,,,,,,,
16,1980-01-17,6.3,-0.9,3.1,0.0,0.0,28.2,49.3,18.4,,,,,,,
17,1980-01-18,4.9,-1.7,1.6,0.0,0.0,12.8,29.2,9.8,,,,,,,
18,1980-01-19,9.2,1.8,4.8,0.0,0.0,14.9,23.8,9.2,,,,,,,
19,1980-01-20,5.7,-0.7,2.6,0.0,0.0,15.0,28.4,11.7,,,,,,,
20,1980-01-21,7.0,-1.4,2.3,0.0,0.0,17.5,33.5,11.8,,,,,,,
21,1980-01-22,7.3,-0.9,2.7,0.0,0.0,8.4,13.7,5.2,,,,,,,
22,1980-01-23,10.4,-1.2,4.1,0.0,0.0,14.3,29.2,9.8,,,,,,,
23,1980-01-24,12.4,0.7,6.7,0.3,2.0,12.9,24.5,10.3,,,,,,,
24,1980-01-25,9.9,7.9,8.5,4.1,17.0,19.4,33.1,14.5,,,,,,,
25,1980-01-26,12.1,8.1,9.6,6.4,14.0,15.2,29.5,8.8,,,,,,,
26,1980-01-27,10.3,6.9,8.3,0.0,0.0,9.4,17.3,6.2,,,,,,,
27,1980-01-28,12.3,5.5,8.3,4.8,8.0,22.0,37.1,12.5,,,,,,,
28,1980-01-29,5.4,0.4,2.6,6.9,18.0,30.6,54.4,24.9,,,,,,,
29,1980-01-30,-0.0,-8.6,-5.1,0.0,0.0,31.4,56.9,29.4,,,,,,,
30,1980-01-31,-4.6,-11.1,-8.1,0.0,0.0,27.3,42.8,20.0,,,,,,,
31,1980-02-01,-1.8,-9.1,-5.8,0.0,0.0,17.0,25.6,12.9,,,,,,,
32,1980-02-02,0.3,-7.4,-4.0,0.0,0.0,11.6,19.8,10.0,,,,,,,
33,1980-02-03,1.4,-7.7,-2.7,0.0,0.0,11.5,18.7,9.3,,,,,,,
34,1980-02-04,0.5,-5.2,-1.2,0.4,2.0,26.0,40.0,17.5,,,,,,,
35,1980-02-05,-2.0,-8.9,-5.8,0.0,0.0,19.9,32.4,15.2,,,,,,,
36,1980-02-06,0.4,-8.4,-3.9,0.0,0.0,16.5,25.2,12.1,,,,,,,
37,1980-02-07,0.9,-2.7,-1.5,0.0,0.0,23.4,38.9,17.7,,,,,,,
38,1980-02-08,0.1,-6.1,-3.2,0.0,0.0,21.3,35.3,15.8,,,,,,,
39,1980-02-09,0.4,-7.8,-4.0,0.0,0.0,18.6,31.0,12.1,,,,,,,
40,1980-02-10,1.6,-6.6,-2.7,0.0,0.0,9.7,14.4,7.5,,,,,,,
41,1980-02-11,4.1,-7.1,-2.0,0.0,0.0,10.6,17.6,9.1,,,,,,,
42,1980-02-12,4.9,-3.6,0.8,0.0,0.0,11.1,17.6,8.6,,,,,,,
43,1980-02-13,7.1,-4.0,2.0,0.0,0.0,11.8,25.2,8.9,,,,,,,
44,1980-02-14,7.7,0.2,3.5,0.0,0.0,13.9,28.1,10.2,,,,,,,
45,1980-02-15,5.3,-0.3,1.8,0.0,0.0,11.8,23.4,9.7,,,,,,,
46,1980-02-16,7.1,-2.5,2.2,0.0,0.0,14.5,29.2,10.2,,,,,,,
47,1980-02-17,8.1,0.1,4.6,1.1,6.0,19.6,35.6,13.7,,,,,,,
48,1980-02-18,8.6,4.2,6.5,4.1,15.0,18.6,31.7,14.4,,,,,,,
49,1980-02-19,8.0,2.5,4.9,1.2,3.0,17.3,31.7,13.7,,,,,,,
50,1980-02-20,8.7,3.2,4.7,0.8,3.0,18.9,34.6,13.8,,,,,,,
51,1980-02-21,5.9,1.6,3.6,0.8,5.0,13.7,23.0,12.0,,,,,,,
52,1980-02-22,6.4,0.0,2.9,0.0,0.0,11.7,18.0,9.9,,,,,,,
53,1980-02-23,8.4,2.3,5.6,1.4,7.0,15.8,24.8,12.3,,,,,,,
54,1980-02-24,12.2,6.3,8.3,0.7,4.0,19.2,35.6,14.6,,,,,,,
55,1980-02-25,11.7,6.3,9.5,7.9,12.0,24.0,35.6,17.2,,,,,,,
56,1980-02-26,9.6,6.2,8.2,0.5,3.0,20.8,35.6,17.3,,,,,,,
57,1980-02-27,9.3,2.0,5.6,0.4,2.0,17.7,32.4,13.4,,,,,,,
58,1980-02-28,13.0,-1.2,6.1,0.0,0.0,24.7,40.7,13.8,,,,,,,
59,1980-02-29,16.7,7.3,11.9,9.8,10.0,27.6,52.6,20.3,,,,,,,
60,1980-03-01,9.9,2.5,6.6,0.1,1.0,27.1,47.9,19.8,,,,,,,
61,1980-03-02,9.9,0.2,5.8,3.1,4.0,16.3,32.0,11.5,,,,,,,
62,1980-03-03,8.0,6.5,7.0,7.6,14.0,20.0,31.7,16.0,,,,,,,
63,1980-03-04,7.8,5.5,6.6,8.7,6.0,22.8,41.0,16.2,,,,,,,
64,1980-03-05,9.2,4.4,6.4,1.9,7.0,15.3,26.6,11.3,,,,,,,
65,1980-03-06,9.3,3.8,7.2,11.8,13.0,18.9,32.0,10.7,,,,,,,
66,1980-03-07,11.9,5.8,8.2,0.2,1.0,16.9,28.8,11.4,,,,,,,
67,1980-03-08,13.2,8.5,11.0,32.0,23.0,29.5,52.6,21.5,,,,,,,
68,1980-03-09,10.1,4.9,8.0,0.0,0.0,31.3,56.2,24.3,,,,,,,
69,1980-03-10,7.7,4.5,6.0,1.4,3.0,15.8,30.6,14.2,,,,,,,
70,1980-03-11,7.7,3.3,5.5,1.1,4.0,24.0,40.0,18.4,,,,,,,
71,1980-03-12,6.2,2.9,4.5,0.8,2.0,17.3,32.0,13.7,,,,,,,
72,1980-03-13,8.3,3.7,5.5,1.2,6.0,13.4,24.8,9.7,,,,,,,
73,1980-03-14,5.9,1.7,3.8,0.0,0.0,19.7,33.5,12.2,,,,,,,
74,1980-03-15,9.3,-0.4,4.8,0.0,0.0,15.1,28.1,10.4,,,,,,,
75,1980-03-16,14.2,5.7,9.5,7.0,7.0,14.6,29.2,10.7,,,,,,,
76,1980-03-17,11.9,8.3,9.6,2.7,11.0,13.4,24.1,10.5,,,,,,,
77,1980-03-18,8.8,4.7,7.3,6.9,12.0,23.2,35.6,15.4,,,,,,,
78,1980-03-19,15.0,3.7,9.4,0.0,0.0,22.6,43.6,16.0,,,,,,,
79,1980-03-20,18.5,9.3,12.5,0.1,1.0,20.4,36.4,15.0,,,,,,,
80,1980-03-21,9.2,5.4,7.1,17.3,18.0,25.3,44.3,21.0,,,,,,,
81,1980-03-22,7.3,2.3,4.6,1.1,2.0,27.7,51.5,20.7,,,,,,,
82,1980-03-23,7.6,0.6,4.4,0.1,1.0,16.3,30.6,11.8,,,,,,,
83,1980-03-24,9.3,1.7,4.6,0.0,0.0,15.1,30.2,10.4,,,,,,,
84,1980-03-25,9.2,2.5,6.2,0.3,1.0,7.8,16.2,5.4,,,,,,,
85,1980-03-26,14.0,2.9,8.3,0.5,1.0,15.3,28.8,9.8,,,,,,,
86,1980-03-27,13.2,4.3,8.4,0.0,0.0,14.2,28.1,10.1,,,,,,,
87,1980-03-28,11.2,6.3,9.4,11.2,12.0,20.6,33.8,13.4,,,,,,,
88,1980-03-29,13.3,7.5,10.4,3.0,6.0,18.7,36.4,11.1,,,,,,,
89,1980-03-30,15.4,6.0,10.9,9.5,5.0,25.4,48.2,16.6,,,,,,,
90,1980-03-31,12.5,7.3,9.6,13.7,15.0,22.1,44.6,16.8,,,,,,,
91,1980-04-01,16.3,7.1,10.7,1.5,4.0,14.8,27.0,10.1,,,,,,,
92,1980-04-02,17.3,5.3,11.4,0.0,0.0,24.1,44.3,16.1,,,,,,,
93,1980-04-03,17.9,10.1,13.6,0.3,2.0,30.1,54.4,25.8,,,,,,,
94,1980-04-04,20.3,13.6,16.7,1.0,2.0,28.3,53.3,24.9,,,,,,,
95,1980-04-05,24.4,16.9,20.2,4.4,7.0,29.0,61.6,22.9,,,,,,,
96,1980-04-06,20.6,4.7,9.1,10.8,8.0,26.5,64.1,17.0,,,,,,,
97,1980-04-07,13.6,3.3,8.8,0.0,0.0,24.3,44.3,16.3,,,,,,,
98,1980-04-08,18.2,10.5,13.4,9.4,15.0,22.6,38.2,14.5,,,,,,,
99,1980-04-09,14.5,7.7,10.9,0.0,0.0,27.3,47.2,21.4,,,,,,,
100,1980-04-10,16.7,7.3,11.7,0.0,0.0,19.2,40.3,16.4,,,,,,,
101,1980-04-11,20.4,10.8,15.7,0.0,0.0,17.7,34.6,14.2,,,,,,,
