date,pm25,pm10,o3,no2,so2,co
2022/4/22,122.0,20.0,38.0,7.0,3.0,6.0
2022/4/23,65.0,10.0,37.0,5.0,2.0,5.0
2022/4/24,38.0,23.0,41.0,7.0,2.0,7.0
2022/4/25,71.0,19.0,35.0,8.0,2.0,6.0
2022/4/26,61.0,51.0,47.0,5.0,2.0,5.0
2022/4/27,67.0,68.0,39.0,6.0,1.0,6.0
2022/4/28,76.0,18.0,45.0,5.0,2.0,7.0
2022/4/29,50.0,23.0,47.0,6.0,2.0,7.0
2022/4/30,68.0,28.0,53.0,6.0,2.0,8.0
2022/5/1,78.0,50.0,77.0,10.0,2.0,9.0
2022/5/2,120.0,57.0,98.0,15.0,3.0,9.0
2022/5/3,136.0,47.0,78.0,8.0,7.0,8.0
2022/5/4,114.0,25.0,58.0,6.0,2.0,7.0
2022/5/5,67.0,19.0,68.0,5.0,4.0,2.0
2022/5/6,66.0,15.0,37.0,5.0,2.0,5.0
2022/5/7,52.0,21.0,48.0,5.0,2.0,5.0
2022/5/8,58.0,18.0,45.0,6.0,2.0,6.0
2022/5/9,50.0,19.0,42.0,5.0,2.0,8.0
2022/5/10,57.0,20.0,40.0,5.0,2.0,7.0
2022/5/11,64.0,19.0,41.0,6.0,2.0,8.0
2022/5/12,63.0,20.0,45.0,5.0,2.0,9.0
2022/5/13,63.0,27.0,55.0,6.0,2.0,5.0
2022/5/14,70.0,30.0,62.0,10.0,2.0,3.0
2022/5/15,77.0,43.0,83.0,13.0,3.0,2.0
2022/5/16,112.0,47.0,96.0,11.0,4.0,2.0
2022/5/17,120.0,31.0,76.0,10.0,5.0,1.0
2022/5/18,92.0,30.0,57.0,8.0,2.0,1.0
2022/5/19,79.0,25.0,28.0,11.0,2.0,1.0
2022/5/20,77.0,18.0,50.0,8.0,2.0,6.0
2022/5/21,54.0,25.0,68.0,7.0,2.0,4.0
2022/5/22,79.0,17.0,52.0,5.0,2.0,9.0
2022/5/23,70.0,12.0,45.0,5.0,2.0,3.0
2022/5/24,41.0,19.0,45.0,7.0,2.0,2.0
2022/5/25,56.0,31.0,28.0,17.0,2.0,8.0
2022/5/26,83.0,44.0,103.0,12.0,3.0,5.0
2022/5/27,109.0,19.0,55.0,8.0,3.0,4.0
2022/5/28,64.0,15.0,35.0,9.0,2.0,7.0
2022/5/29,52.0,41.0,58.0,14.0,3.0,12.0
2022/5/30,108.0,16.0,48.0,7.0,2.0,9.0
2022/5/31,43.0,42.0,61.0,14.0,4.0,8.0
2022/6/1,108.0,47.0,51.0,13.0,2.0,4.0
2022/6/2,115.0,14.0,37.0,6.0,2.0,3.0
2022/6/3,41.0,24.0,49.0,9.0,2.0,3.0
2022/6/4,62.0,19.0,28.0,11.0,2.0,4.0
2022/6/5,56.0,32.0,90.0,8.0,2.0,3.0
2022/6/6,73.0,37.0,50.0,8.0,2.0,4.0
2022/6/7,81.0,25.0,56.0,10.0,2.0,1.0
2022/6/8,56.0,37.0,72.0,8.0,2.0,1.0
2022/6/9,77.0,18.0,41.0,7.0,1.0,2.0
2022/6/10,51.0,19.0,46.0,4.0,1.0,2.0
2022/6/11,56.0,28.0,40.0,7.0,2.0,1.0
2022/6/12,73.0,13.0,33.0,9.0,,1.0
2022/6/13,34.0,42.0,86.0,12.0,2.0,3.0
2022/6/14,97.0,56.0,99.0,16.0,2.0,4.0
2022/6/15,130.0,54.0,96.0,12.0,3.0,5.0
2022/6/16,120.0,44.0,105.0,9.0,2.0,4.0
2022/6/17,113.0,29.0,59.0,5.0,1.0,4.0
2022/6/18,74.0,44.0,44.0,12.0,,5.0
2022/6/19,98.0,15.0,31.0,6.0,,3.0
2022/6/20,46.0,24.0,40.0,6.0,,3.0
2022/6/21,59.0,32.0,47.0,6.0,1.0,3.0
2022/6/22,79.0,25.0,44.0,5.0,1.0,3.0
2022/6/23,59.0,17.0,27.0,8.0,1.0,4.0
2022/6/24,48.0,27.0,65.0,5.0,1.0,3.0
2022/6/25,70.0,27.0,56.0,5.0,1.0,4.0
2022/6/26,66.0,22.0,48.0,2.0,1.0,4.0
2022/6/27,48.0,26.0,41.0,6.0,1.0,4.0
2022/6/28,48.0,25.0,46.0,8.0,,4.0
2022/6/29,59.0,19.0,30.0,6.0,,3.0
2022/6/30,43.0,19.0,25.0,4.0,,4.0
2022/7/1,36.0,16.0,19.0,3.0,,2.0
2022/7/2,38.0,15.0,23.0,3.0,,2.0
2022/7/3,40.0,17.0,28.0,4.0,,1.0
2022/7/4,39.0,31.0,63.0,4.0,,4.0
2022/7/5,68.0,29.0,54.0,5.0,,4.0
2022/7/6,62.0,30.0,63.0,6.0,,4.0
2022/7/7,78.0,35.0,50.0,6.0,,4.0
2022/7/8,81.0,34.0,88.0,9.0,1.0,5.0
2022/7/9,93.0,43.0,67.0,9.0,1.0,5.0
2022/7/10,110.0,25.0,71.0,12.0,1.0,6.0
2022/7/11,64.0,45.0,84.0,12.0,,5.0
2022/7/12,93.0,46.0,83.0,13.0,,5.0
2022/7/13,100.0,43.0,101.0,13.0,,4.0
2022/7/14,99.0,42.0,69.0,11.0,,4.0
2022/7/15,98.0,38.0,51.0,16.0,,6.0
2022/7/16,99.0,44.0,71.0,10.0,1.0,5.0
2022/7/17,102.0,32.0,53.0,9.0,,5.0
2022/7/18,82.0,31.0,41.0,11.0,,5.0
2022/7/19,83.0,34.0,58.0,9.0,,5.0
2022/7/20,81.0,24.0,44.0,11.0,,4.0
2022/7/21,65.0,46.0,104.0,11.0,,6.0
2022/7/22,112.0,42.0,49.0,8.0,,5.0
2022/7/23,96.0,42.0,88.0,10.0,1.0,8.0
2022/7/24,100.0,35.0,69.0,7.0,,4.0
2022/7/25,88.0,37.0,81.0,11.0,,4.0
2022/7/26,77.0,37.0,104.0,14.0,,5.0
2022/7/27,84.0,40.0,84.0,12.0,,6.0
2022/7/28,79.0,18.0,14.0,6.0,,4.0
2022/7/29,45.0,19.0,18.0,8.0,,4.0
2022/7/30,55.0,25.0,39.0,8.0,1.0,5.0
2022/7/31,69.0,32.0,50.0,8.0,,5.0
2022/8/1,78.0,42.0,58.0,7.0,1.0,5.0
2022/8/2,103.0,19.0,35.0,6.0,1.0,4.0
2022/8/3,56.0,21.0,47.0,6.0,1.0,4.0
2022/8/4,52.0,31.0,92.0,8.0,1.0,5.0
2022/8/5,64.0,38.0,49.0,16.0,1.0,7.0
2022/8/6,85.0,25.0,69.0,8.0,1.0,4.0
2022/8/7,63.0,19.0,53.0,6.0,1.0,4.0
2022/8/8,45.0,25.0,71.0,7.0,1.0,4.0
2022/8/9,53.0,29.0,83.0,8.0,1.0,4.0
2022/8/10,63.0,39.0,83.0,12.0,1.0,5.0
2022/8/11,78.0,43.0,74.0,18.0,2.0,6.0
2022/8/12,95.0,44.0,85.0,11.0,1.0,6.0
2022/8/13,94.0,37.0,78.0,8.0,1.0,6.0
2022/8/14,78.0,31.0,84.0,7.0,1.0,5.0
2022/8/15,71.0,35.0,70.0,10.0,1.0,6.0
2022/8/16,76.0,32.0,68.0,11.0,2.0,8.0
2022/8/17,73.0,30.0,73.0,9.0,1.0,5.0
2022/8/18,71.0,27.0,75.0,8.0,1.0,5.0
2022/8/19,61.0,40.0,70.0,13.0,1.0,6.0
2022/8/20,82.0,36.0,38.0,10.0,1.0,7.0
2022/8/21,81.0,35.0,68.0,9.0,1.0,6.0
2022/8/22,83.0,38.0,100.0,11.0,1.0,7.0
2022/8/23,86.0,31.0,31.0,7.0,1.0,3.0
2022/8/24,59.0,28.0,39.0,9.0,1.0,3.0
2022/8/25,56.0,31.0,37.0,11.0,1.0,3.0
2022/8/26,58.0,25.0,41.0,10.0,1.0,4.0
2022/8/27,65.0,27.0,39.0,7.0,1.0,5.0
2022/8/28,44.0,34.0,60.0,9.0,1.0,5.0
2022/8/29,62.0,37.0,51.0,9.0,1.0,6.0
2022/8/30,87.0,17.0,34.0,8.0,1.0,6.0
2022/8/31,53.0,24.0,54.0,6.0,1.0,5.0
2022/9/1,62.0,21.0,40.0,5.0,1.0,4.0
2022/9/2,49.0,14.0,25.0,4.0,1.0,3.0
2022/9/3,36.0,17.0,21.0,3.0,1.0,3.0
2022/9/4,36.0,9.0,41.0,4.0,1.0,4.0
2022/9/5,23.0,53.0,100.0,12.0,2.0,8.0
2022/9/6,111.0,58.0,110.0,13.0,2.0,6.0
2022/9/7,119.0,37.0,49.0,14.0,2.0,4.0
2022/9/8,71.0,26.0,45.0,9.0,2.0,4.0
2022/9/9,59.0,24.0,57.0,7.0,1.0,4.0
2022/9/10,62.0,28.0,36.0,6.0,2.0,2.0
2022/9/11,61.0,23.0,26.0,7.0,1.0,3.0
2022/9/12,63.0,15.0,26.0,6.0,1.0,3.0
2022/9/13,45.0,14.0,22.0,6.0,1.0,4.0
2022/9/14,45.0,13.0,28.0,6.0,1.0,3.0
2022/9/15,44.0,40.0,50.0,11.0,2.0,4.0
2022/9/16,101.0,46.0,56.0,15.0,2.0,8.0
2022/9/17,116.0,36.0,66.0,8.0,2.0,8.0
2022/9/18,78.0,55.0,64.0,7.0,2.0,7.0
2022/9/19,91.0,40.0,37.0,7.0,2.0,5.0
2022/9/20,55.0,30.0,31.0,10.0,2.0,3.0
2022/9/21,47.0,37.0,41.0,13.0,2.0,3.0
2022/9/22,58.0,47.0,57.0,15.0,2.0,4.0
2022/9/23,73.0,27.0,37.0,8.0,2.0,4.0
2022/9/24,46.0,29.0,41.0,10.0,2.0,4.0
2022/9/25,48.0,33.0,44.0,14.0,2.0,5.0
2022/9/26,68.0,18.0,42.0,11.0,2.0,4.0
2022/9/27,53.0,25.0,35.0,14.0,2.0,5.0
2022/9/28,65.0,19.0,40.0,16.0,2.0,4.0
2022/9/29,63.0,27.0,28.0,12.0,2.0,4.0
2022/9/30,59.0,38.0,35.0,11.0,2.0,5.0
2022/10/1,86.0,30.0,45.0,7.0,2.0,5.0
2022/10/2,65.0,35.0,72.0,9.0,3.0,6.0
2022/10/3,72.0,24.0,26.0,6.0,2.0,5.0
2022/10/4,49.0,24.0,30.0,5.0,2.0,3.0
2022/10/5,41.0,14.0,30.0,8.0,2.0,4.0
2022/10/6,40.0,15.0,31.0,8.0,2.0,4.0
2022/10/7,47.0,26.0,38.0,11.0,2.0,4.0
2022/10/8,60.0,37.0,46.0,14.0,2.0,5.0
2022/10/9,87.0,42.0,34.0,12.0,3.0,6.0
2022/10/10,62.0,34.0,36.0,14.0,3.0,5.0
2022/10/11,69.0,24.0,38.0,12.0,3.0,5.0
2022/10/12,55.0,26.0,43.0,10.0,3.0,5.0
2022/10/13,52.0,33.0,40.0,13.0,2.0,5.0
2022/10/14,64.0,33.0,45.0,13.0,3.0,5.0
2022/10/15,74.0,34.0,43.0,11.0,3.0,5.0
2022/10/16,90.0,48.0,49.0,7.0,3.0,5.0
2022/10/17,81.0,31.0,32.0,8.0,2.0,4.0
2022/10/18,45.0,26.0,40.0,10.0,2.0,4.0
2022/10/19,51.0,26.0,38.0,14.0,2.0,4.0
2022/10/20,53.0,36.0,39.0,20.0,2.0,5.0
2022/10/21,69.0,38.0,36.0,14.0,3.0,6.0
2022/10/22,89.0,38.0,50.0,7.0,2.0,4.0
2022/10/23,79.0,29.0,43.0,8.0,3.0,4.0
2022/10/24,53.0,25.0,35.0,8.0,2.0,4.0
2022/10/25,46.0,28.0,27.0,14.0,3.0,4.0
2022/10/26,44.0,18.0,30.0,13.0,2.0,4.0
2022/10/27,43.0,32.0,38.0,8.0,2.0,4.0
2022/10/28,57.0,29.0,37.0,9.0,3.0,4.0
2022/10/29,62.0,32.0,37.0,10.0,2.0,4.0
2022/10/30,71.0,29.0,32.0,10.0,2.0,4.0
2022/10/31,52.0,35.0,40.0,10.0,3.0,5.0
2022/11/1,79.0,48.0,43.0,13.0,2.0,6.0
2022/11/2,98.0,34.0,41.0,16.0,3.0,5.0
2022/11/3,70.0,34.0,32.0,9.0,3.0,5.0
2022/11/4,64.0,37.0,38.0,12.0,3.0,5.0
2022/11/5,79.0,25.0,34.0,15.0,3.0,4.0
2022/11/6,58.0,32.0,43.0,16.0,3.0,4.0
2022/11/7,66.0,28.0,36.0,17.0,3.0,4.0
2022/11/8,66.0,40.0,38.0,15.0,2.0,4.0
2022/11/9,81.0,48.0,34.0,14.0,3.0,5.0
2022/11/10,116.0,33.0,16.0,16.0,2.0,4.0
2022/11/11,87.0,29.0,31.0,13.0,3.0,5.0
2022/11/12,72.0,29.0,22.0,9.0,3.0,6.0
2022/11/13,64.0,40.0,17.0,18.0,3.0,7.0
2022/11/14,88.0,66.0,24.0,28.0,4.0,9.0
2022/11/15,154.0,74.0,42.0,29.0,4.0,9.0
2022/11/16,159.0,14.0,31.0,13.0,3.0,5.0
2022/11/17,52.0,26.0,28.0,15.0,3.0,5.0
2022/11/18,59.0,41.0,23.0,21.0,3.0,6.0
2022/11/19,85.0,51.0,24.0,17.0,3.0,8.0
2022/11/20,130.0,49.0,27.0,24.0,3.0,8.0
2022/11/21,122.0,41.0,27.0,18.0,3.0,7.0
2022/11/22,109.0,20.0,29.0,15.0,3.0,6.0
2022/11/23,61.0,35.0,31.0,21.0,3.0,6.0
2022/11/24,76.0,38.0,27.0,28.0,4.0,5.0
2022/11/25,75.0,53.0,36.0,27.0,4.0,9.0
2022/11/26,128.0,38.0,29.0,16.0,2.0,4.0
2022/11/27,81.0,27.0,1.0,15.0,3.0,4.0
2022/11/28,59.0,21.0,26.0,11.0,2.0,5.0
2022/11/29,58.0,24.0,22.0,11.0,2.0,5.0
2022/11/30,53.0,31.0,16.0,16.0,3.0,7.0
2022/12/1,71.0,44.0,12.0,24.0,4.0,9.0
2022/12/2,102.0,36.0,22.0,25.0,3.0,8.0
2022/12/3,100.0,27.0,25.0,8.0,2.0,4.0
2022/12/4,58.0,18.0,23.0,12.0,3.0,5.0
2022/12/5,52.0,31.0,21.0,27.0,4.0,7.0
2022/12/6,66.0,48.0,38.0,29.0,4.0,5.0
2022/12/7,103.0,50.0,26.0,34.0,4.0,5.0
2022/12/8,104.0,33.0,16.0,30.0,3.0,7.0
2022/12/9,87.0,51.0,25.0,24.0,3.0,9.0
2022/12/10,135.0,43.0,31.0,11.0,4.0,6.0
2022/12/11,90.0,45.0,24.0,22.0,4.0,6.0
2022/12/12,101.0,95.0,23.0,30.0,5.0,9.0
2022/12/13,151.0,76.0,25.0,17.0,4.0,6.0
2022/12/14,91.0,53.0,20.0,26.0,3.0,5.0
2022/12/15,74.0,32.0,25.0,20.0,3.0,5.0
2022/12/16,65.0,45.0,20.0,11.0,4.0,6.0
2022/12/17,88.0,56.0,20.0,17.0,3.0,7.0
2022/12/18,69.0,51.0,21.0,29.0,4.0,8.0
2022/12/19,84.0,40.0,29.0,28.0,3.0,6.0
2022/12/20,76.0,64.0,25.0,23.0,5.0,7.0
2022/12/21,120.0,75.0,25.0,24.0,4.0,8.0
2022/12/22,121.0,33.0,23.0,15.0,4.0,8.0
2022/12/23,66.0,48.0,26.0,18.0,5.0,9.0
2022/12/24,99.0,44.0,24.0,17.0,4.0,9.0
2022/12/25,99.0,45.0,21.0,25.0,5.0,9.0
2022/12/26,122.0,65.0,27.0,23.0,5.0,9.0
2022/12/27,159.0,76.0,31.0,20.0,5.0,9.0
2022/12/28,165.0,35.0,29.0,16.0,4.0,4.0
2022/12/29,89.0,37.0,19.0,25.0,5.0,7.0
2022/12/30,94.0,68.0,34.0,35.0,5.0,8.0
2022/12/31,158.0,71.0,18.0,49.0,5.0,8.0
2023/1/1,160.0,58.0,28.0,19.0,4.0,7.0
2023/1/2,131.0,22.0,26.0,16.0,4.0,4.0
2023/1/3,56.0,41.0,34.0,26.0,5.0,6.0
2023/1/4,105.0,46.0,17.0,31.0,4.0,5.0
2023/1/5,105.0,75.0,39.0,36.0,6.0,8.0
2023/1/6,149.0,90.0,32.0,34.0,6.0,11.0
2023/1/7,173.0,67.0,38.0,22.0,5.0,6.0
2023/1/8,129.0,65.0,43.0,21.0,5.0,7.0
2023/1/9,143.0,26.0,26.0,12.0,4.0,4.0
2023/1/10,45.0,34.0,27.0,21.0,4.0,5.0
2023/1/11,75.0,26.0,23.0,17.0,2.0,4.0
2023/1/12,76.0,22.0,2.0,23.0,2.0,7.0
2023/1/13,69.0,16.0,,10.0,3.0,5.0
2023/1/14,51.0,29.0,,9.0,2.0,6.0
2023/1/15,73.0,44.0,,12.0,4.0,8.0
2023/1/16,89.0,53.0,,14.0,3.0,8.0
2023/1/17,120.0,65.0,,20.0,4.0,9.0
2023/1/18,137.0,75.0,,28.0,4.0,9.0
2023/1/19,131.0,87.0,,15.0,4.0,7.0
2023/1/20,134.0,60.0,,9.0,3.0,4.0
2023/1/21,69.0,18.0,,10.0,2.0,5.0
2023/1/22,58.0,29.0,,8.0,3.0,7.0
2023/1/23,66.0,43.0,,4.0,2.0,7.0
2023/1/24,82.0,27.0,,6.0,3.0,7.0
2023/1/25,51.0,46.0,,12.0,3.0,8.0
2023/1/26,115.0,58.0,,7.0,3.0,7.0
2023/1/27,96.0,54.0,,15.0,4.0,8.0
2023/1/28,97.0,57.0,,21.0,3.0,7.0
2023/1/29,110.0,60.0,,29.0,5.0,9.0
2023/1/30,126.0,45.0,,23.0,4.0,7.0
2023/1/31,111.0,61.0,,31.0,4.0,8.0
2023/2/1,120.0,43.0,,10.0,2.0,5.0
2023/2/2,52.0,48.0,,12.0,3.0,6.0
2023/2/3,55.0,30.0,,15.0,3.0,4.0
2023/2/4,59.0,46.0,,16.0,3.0,5.0
2023/2/5,101.0,32.0,,20.0,2.0,4.0
2023/2/6,79.0,31.0,,13.0,3.0,4.0
2023/2/7,74.0,51.0,,14.0,3.0,5.0
2023/2/8,110.0,34.0,,16.0,3.0,5.0
2023/2/9,72.0,25.0,,15.0,2.0,6.0
2023/2/10,71.0,19.0,29.0,14.0,2.0,5.0
2023/2/11,59.0,19.0,25.0,19.0,2.0,7.0
2023/2/12,59.0,37.0,37.0,10.0,2.0,7.0
2023/2/13,86.0,36.0,28.0,10.0,2.0,6.0
2023/2/14,70.0,40.0,29.0,14.0,3.0,6.0
2023/2/15,83.0,43.0,30.0,17.0,3.0,7.0
2023/2/16,85.0,42.0,27.0,24.0,3.0,6.0
2023/2/17,88.0,58.0,33.0,35.0,5.0,9.0
2023/2/18,127.0,78.0,33.0,20.0,4.0,10.0
2023/2/19,160.0,53.0,41.0,15.0,4.0,7.0
2023/2/20,113.0,29.0,30.0,9.0,3.0,6.0
2023/2/21,55.0,29.0,28.0,13.0,3.0,6.0
2023/2/22,56.0,24.0,25.0,17.0,3.0,7.0
2023/2/23,63.0,42.0,36.0,15.0,3.0,9.0
2023/2/24,105.0,45.0,31.0,10.0,3.0,8.0
2023/2/25,92.0,29.0,33.0,11.0,3.0,6.0
2023/2/26,67.0,29.0,38.0,14.0,3.0,4.0
2023/2/27,77.0,40.0,40.0,25.0,3.0,5.0
2023/2/28,85.0,65.0,55.0,28.0,4.0,8.0
2023/3/1,150.0,54.0,37.0,16.0,4.0,5.0
2023/3/2,107.0,36.0,29.0,18.0,3.0,4.0
2023/3/3,56.0,45.0,34.0,23.0,3.0,4.0
2023/3/4,84.0,49.0,48.0,21.0,3.0,4.0
2023/3/5,97.0,59.0,66.0,27.0,4.0,5.0
2023/3/6,117.0,67.0,57.0,25.0,4.0,5.0
2023/3/7,111.0,63.0,43.0,27.0,3.0,6.0
2023/3/8,115.0,81.0,63.0,24.0,4.0,8.0
2023/3/9,158.0,86.0,78.0,29.0,5.0,7.0
2023/3/10,145.0,56.0,60.0,16.0,4.0,5.0
2023/3/11,92.0,60.0,36.0,12.0,3.0,6.0
2023/3/12,95.0,49.0,34.0,12.0,4.0,4.0
2023/3/13,55.0,49.0,50.0,15.0,5.0,5.0
2023/3/14,65.0,52.0,54.0,18.0,5.0,6.0
2023/3/15,89.0,66.0,37.0,9.0,3.0,5.0
2023/3/16,67.0,21.0,33.0,12.0,3.0,6.0
2023/3/17,41.0,33.0,29.0,14.0,4.0,7.0
2023/3/18,76.0,41.0,39.0,15.0,3.0,4.0
2023/3/19,72.0,43.0,39.0,16.0,3.0,5.0
2023/3/20,95.0,18.0,16.0,26.0,3.0,6.0
2023/3/21,60.0,39.0,10.0,30.0,3.0,7.0
2023/3/22,108.0,102.0,34.0,17.0,3.0,8.0
2023/3/23,104.0,84.0,32.0,10.0,3.0,4.0
2023/3/24,86.0,46.0,28.0,12.0,4.0,6.0
2023/3/25,65.0,63.0,43.0,12.0,4.0,6.0
2023/3/26,85.0,84.0,51.0,22.0,4.0,6.0
2023/3/27,112.0,65.0,50.0,20.0,4.0,6.0
2023/3/28,112.0,55.0,35.0,20.0,4.0,6.0
2023/3/29,89.0,62.0,51.0,17.0,3.0,7.0
2023/3/30,134.0,38.0,35.0,16.0,4.0,6.0
2023/3/31,86.0,43.0,41.0,25.0,4.0,6.0
2023/4/1,98.0,47.0,61.0,24.0,3.0,5.0
2023/4/2,93.0,50.0,51.0,11.0,2.0,5.0
2023/4/3,77.0,28.0,38.0,9.0,2.0,5.0
2023/4/4,55.0,34.0,31.0,10.0,2.0,8.0
2023/4/5,83.0,44.0,28.0,16.0,2.0,9.0
2023/4/6,122.0,65.0,45.0,15.0,2.0,9.0
2023/4/7,142.0,56.0,50.0,16.0,3.0,6.0
2023/4/8,88.0,50.0,75.0,18.0,4.0,5.0
2023/4/9,78.0,46.0,75.0,15.0,3.0,5.0
2023/4/10,82.0,153.0,47.0,17.0,3.0,7.0
2023/4/11,103.0,209.0,37.0,12.0,2.0,5.0
2023/4/12,134.0,140.0,38.0,17.0,2.0,5.0
2023/4/13,133.0,77.0,33.0,22.0,3.0,8.0
2023/4/14,126.0,49.0,47.0,14.0,2.0,7.0
2023/4/15,104.0,66.0,70.0,12.0,3.0,7.0
2023/4/16,106.0,64.0,67.0,11.0,3.0,7.0
2023/4/17,96.0,70.0,67.0,21.0,4.0,8.0
2023/4/18,103.0,33.0,35.0,11.0,2.0,6.0
2023/4/19,63.0,27.0,38.0,10.0,2.0,5.0
2023/4/20,67.0,50.0,44.0,7.0,2.0,5.0
2023/4/21,76.0,86.0,43.0,9.0,3.0,5.0
2023/4/22,83.0,86.0,38.0,8.0,2.0,5.0
2023/4/23,86.0,37.0,36.0,9.0,2.0,5.0
2023/4/24,67.0,41.0,32.0,16.0,3.0,7.0
2023/4/25,86.0,57.0,54.0,14.0,4.0,8.0
2023/4/26,130.0,56.0,70.0,11.0,3.0,6.0
2023/4/27,121.0,52.0,66.0,15.0,4.0,7.0
2023/4/28,109.0,66.0,29.0,17.0,3.0,7.0
2023/4/29,132.0,81.0,68.0,16.0,3.0,4.0
2023/4/30,101.0,68.0,94.0,18.0,5.0,4.0
2023/5/1,95.0,49.0,62.0,8.0,3.0,4.0
2023/5/2,72.0,43.0,44.0,8.0,3.0,5.0
2023/5/3,73.0,28.0,40.0,11.0,3.0,5.0
2023/5/4,70.0,27.0,36.0,14.0,3.0,7.0
2023/5/5,78.0,35.0,41.0,11.0,2.0,8.0
2023/5/6,101.0,17.0,36.0,8.0,2.0,4.0
2023/5/7,54.0,31.0,47.0,7.0,2.0,4.0
2023/5/8,79.0,35.0,58.0,16.0,3.0,3.0
2023/5/9,80.0,28.0,53.0,13.0,3.0,3.0
2023/5/10,72.0,43.0,46.0,25.0,3.0,4.0
2023/5/11,87.0,74.0,109.0,28.0,4.0,6.0
2023/5/12,160.0,65.0,116.0,18.0,3.0,6.0
2023/5/13,156.0,66.0,115.0,19.0,4.0,7.0
2023/5/14,146.0,60.0,98.0,16.0,3.0,6.0
2023/5/15,121.0,46.0,76.0,10.0,3.0,4.0
2023/5/16,71.0,18.0,42.0,4.0,2.0,4.0
2023/5/17,57.0,24.0,41.0,6.0,3.0,6.0
2023/5/18,80.0,17.0,39.0,8.0,2.0,5.0
2023/5/19,56.0,30.0,61.0,9.0,2.0,4.0
2023/5/20,81.0,38.0,55.0,11.0,3.0,4.0
2023/5/21,92.0,68.0,35.0,10.0,2.0,4.0
2023/5/22,99.0,76.0,62.0,18.0,3.0,5.0
2023/5/23,111.0,62.0,49.0,21.0,3.0,5.0
2023/5/24,111.0,53.0,80.0,12.0,3.0,4.0
2023/5/25,103.0,51.0,51.0,12.0,3.0,5.0
2023/5/26,88.0,33.0,39.0,7.0,2.0,4.0
2023/5/27,67.0,37.0,63.0,9.0,3.0,3.0
2023/5/28,65.0,33.0,101.0,13.0,3.0,4.0
2023/5/29,68.0,32.0,37.0,13.0,2.0,3.0
2023/5/30,92.0,23.0,33.0,13.0,2.0,4.0
2023/5/31,75.0,26.0,48.0,13.0,3.0,4.0
2023/6/1,71.0,46.0,110.0,13.0,3.0,6.0
2023/6/2,101.0,39.0,61.0,10.0,3.0,4.0
2023/6/3,97.0,34.0,48.0,11.0,3.0,3.0
2023/6/4,75.0,37.0,38.0,12.0,2.0,5.0
2023/6/5,85.0,28.0,56.0,12.0,2.0,6.0
2023/6/6,93.0,37.0,45.0,14.0,2.0,5.0
2023/6/7,113.0,34.0,91.0,12.0,2.0,6.0
2023/6/8,107.0,40.0,104.0,14.0,3.0,6.0
2023/6/9,113.0,36.0,99.0,11.0,3.0,5.0
2023/6/10,82.0,30.0,56.0,11.0,2.0,4.0
2023/6/11,90.0,14.0,35.0,8.0,2.0,3.0
2023/6/12,46.0,17.0,21.0,10.0,2.0,3.0
2023/6/13,49.0,37.0,86.0,11.0,2.0,4.0
2023/6/14,88.0,42.0,86.0,17.0,4.0,7.0
2023/6/15,120.0,42.0,83.0,13.0,3.0,5.0
2023/6/16,125.0,13.0,50.0,9.0,2.0,4.0
2023/6/17,56.0,15.0,23.0,18.0,2.0,5.0
2023/6/18,60.0,15.0,28.0,13.0,1.0,6.0
2023/6/19,63.0,30.0,68.0,10.0,2.0,9.0
2023/6/20,95.0,50.0,111.0,15.0,3.0,8.0
2023/6/21,138.0,50.0,76.0,13.0,3.0,6.0
2023/6/22,135.0,42.0,56.0,9.0,2.0,5.0
2023/6/23,114.0,7.0,46.0,7.0,1.0,4.0
2023/6/24,44.0,19.0,40.0,10.0,2.0,4.0
2023/6/25,59.0,30.0,36.0,12.0,2.0,4.0
2023/6/26,70.0,30.0,51.0,13.0,2.0,4.0
2023/6/27,71.0,35.0,74.0,9.0,2.0,4.0
2023/6/28,81.0,40.0,65.0,11.0,2.0,5.0
2023/6/29,81.0,32.0,30.0,12.0,2.0,5.0
2023/6/30,68.0,30.0,76.0,9.0,2.0,5.0
2023/7/1,75.0,41.0,81.0,11.0,2.0,5.0
2023/7/2,113.0,39.0,75.0,15.0,3.0,5.0
2023/7/3,92.0,32.0,57.0,10.0,2.0,5.0
2023/7/4,91.0,31.0,61.0,10.0,2.0,5.0
2023/7/5,80.0,42.0,66.0,13.0,2.0,5.0
2023/7/6,117.0,36.0,63.0,12.0,2.0,5.0
2023/7/7,89.0,32.0,34.0,16.0,3.0,5.0
2023/7/8,80.0,39.0,42.0,13.0,1.0,4.0
2023/7/9,102.0,31.0,34.0,16.0,2.0,4.0
2023/7/10,71.0,42.0,96.0,10.0,2.0,5.0
2023/7/11,93.0,45.0,98.0,10.0,2.0,4.0
2023/7/12,112.0,43.0,82.0,8.0,2.0,5.0
2023/7/13,84.0,44.0,97.0,8.0,2.0,4.0
2023/7/14,89.0,35.0,91.0,8.0,2.0,4.0
2023/7/15,79.0,19.0,25.0,7.0,2.0,3.0
2023/7/16,56.0,17.0,21.0,2.0,2.0,2.0
2023/7/17,40.0,14.0,26.0,3.0,2.0,3.0
2023/7/18,43.0,17.0,25.0,6.0,3.0,3.0
2023/7/19,45.0,20.0,17.0,10.0,2.0,3.0
2023/7/20,55.0,24.0,44.0,10.0,2.0,3.0
2023/7/21,68.0,22.0,34.0,9.0,1.0,3.0
